clusterID,ori_lat,ori_lng,dest_lat,dest_lng,flowNum,flowCount
276.0,22.54093582,113.9075074,22.5229531,113.9281622,1.0,22.0
277.0,22.51456784,113.9237759,22.51007495,113.9243135,1.0,22.0
278.0,22.50565173,113.9191966,22.49142112,113.9144863,1.0,22.0
279.0,22.50624312,113.9105087,22.49613026,113.9186972,1.0,22.0
280.0,22.51825457,113.9141686,22.52273163,113.9088695,1.0,22.0
281.0,22.51007495,113.9243135,22.526953595000002,113.9146614,2.0,23.0
282.0,22.53234008,113.9384312,22.51514023,113.9277927,1.0,22.0
283.0,22.51452789,113.90846375,22.53210632,113.918518,2.0,25.0
284.0,22.4962247,113.9284344,22.50089007,113.9245528,1.0,22.0
285.0,22.49613026,113.9186972,22.49109274,113.9198366,1.0,22.0
286.0,22.51490573,113.9392088,22.51301104,113.92518079999999,2.0,32.0
287.0,22.51456784,113.9237759,22.52145721,113.9118485,1.0,21.0
288.0,22.45945124,113.8909226,22.45834911,113.8900667,1.0,21.0
289.0,22.508079753333334,113.94687683333332,22.52362644,113.94824469999999,3.0,24.0
290.0,22.526953595000002,113.9146614,22.51825457,113.9141686,2.0,23.0
291.0,22.491602420000003,113.92529466666667,22.49210155,113.9344949,3.0,27.0
292.0,22.53123256,113.9084504,22.53117593,113.8972462,1.0,21.0
293.0,22.53210632,113.918518,22.51601288,113.9118619,1.0,21.0
294.0,22.50089007,113.9245528,22.51490573,113.9392088,1.0,21.0
295.0,22.53210632,113.918518,22.52081199,113.9212125,1.0,21.0
296.0,22.51518652,113.92746625000001,22.50565173,113.9191966,2.0,23.0
297.0,22.495898300000004,113.91837446666666,22.487128406666667,113.90993553333334,3.0,25.0
298.0,22.50089007,113.9245528,22.4962247,113.9284344,1.0,21.0
299.0,22.52782634,113.9230867,22.51445403,113.91841,1.0,21.0
300.0,22.53287857,113.9575926,22.527155298000004,113.93184782,5.0,34.0
301.0,22.526953595000002,113.9146614,22.51919465,113.9332076,2.0,23.0
302.0,22.52231179,113.923915,22.5311831,113.91398455000001,2.0,23.0
303.0,22.541333803333334,113.94832176666667,22.519695826666666,113.93286313333334,3.0,25.0
304.0,22.51985924,113.9229437,22.50561336,113.9287441,1.0,21.0
