who,origin_lat,origin_lng,destination_lat,destination_lng,age,gender,index,count,lng,lat,id,cluster,ori_cluster,dest_cluster,fnid_o,fnid_d,similarity
34061,22.50565173,113.9191966,22.50089007,113.9245528,7,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
34061,22.50565173,113.9191966,22.50089007,113.9245528,7,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
1492466,22.50565173,113.9191966,22.50089007,113.9245528,10,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
11308698,22.50565173,113.9191966,22.50089007,113.9245528,13,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
11308698,22.50565173,113.9191966,22.50089007,113.9245528,13,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
11541361,22.50565173,113.9191966,22.50089007,113.9245528,7,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
13755549,22.50565173,113.9191966,22.50089007,113.9245528,7,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
20453244,22.50565173,113.9191966,22.50089007,113.9245528,6,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
22512725,22.50565173,113.9191966,22.50089007,113.9245528,6,2,13172,46,113.9218747,22.5032709,54,54,116,286,9351.0,8639.0,0.059105746561956225
24329878,22.50565173,113.9191966,22.50089007,113.9245528,15,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
27655880,22.50565173,113.9191966,22.50089007,113.9245528,7,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
28985576,22.50565173,113.9191966,22.50089007,113.9245528,8,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
34846052,22.50565173,113.9191966,22.50089007,113.9245528,5,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
34846052,22.50565173,113.9191966,22.50089007,113.9245528,5,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
35798530,22.50565173,113.9191966,22.50089007,113.9245528,9,1,13172,46,113.9218747,22.5032709,54,54,115,285,9351.0,8639.0,0.059105746561956225
